"simlr","rgcca","sparseness"
0.6892011,0.6303775,0.50
0.6795435,0.5943810,0.50
0.6927129,0.6233538,0.50
0.6690079,0.6031607,0.50
0.6356453,0.5926251,0.50
0.6224759,0.6180860,0.50
0.6093064,0.6198420,0.50
0.6786655,0.6470588,0.50
0.6514486,0.6163301,0.50
0.6892011,0.6066725,0.50
0.6839333,0.6453029,0.50
0.5864794,0.6189640,0.50
0.6900790,0.5917471,0.50
0.6742757,0.6514486,0.50
0.5926251,0.5926251,0.50
0.6988586,0.6128183,0.50
0.6075505,0.6286216,0.50
0.6505707,0.6224759,0.50
0.6382792,0.6198420,0.50
0.6742757,0.6031607,0.50
0.6839333,0.5926251,0.50
0.6540825,0.6417910,0.50
0.6330114,0.6154522,0.50
0.6979807,0.6259877,0.50
0.6093064,0.6180860,0.50
0.6892011,0.6672520,0.50
0.6909570,0.6119403,0.50
0.5829675,0.6207199,0.50
0.6259877,0.5917471,0.50
0.6725198,0.5996488,0.50
0.6014047,0.6198420,0.50
0.6075505,0.6444249,0.50
0.5715540,0.6110623,0.50
0.6374012,0.6180860,0.50
0.6347673,0.6180860,0.50
0.6426690,0.6084284,0.50
0.6611062,0.6198420,0.50
0.5899912,0.6356453,0.50
0.6558385,0.6136962,0.50
0.5917471,0.6110623,0.50
0.6848112,0.6136962,0.50
0.6611062,0.6259877,0.50
0.6944688,0.6154522,0.50
0.6681299,0.6031607,0.50
0.6707638,0.6084284,0.50
0.7067603,0.6259877,0.50
0.6804214,0.6136962,0.50
0.6584723,0.6207199,0.50
0.6681299,0.6066725,0.50
0.6496927,0.6233538,0.50
0.6479368,0.6128183,0.75
0.5733099,0.6093064,0.75
0.6488147,0.6180860,0.75
0.6646181,0.6189640,0.75
0.5750658,0.6251097,0.75
0.6066725,0.6005268,0.75
0.6646181,0.6242318,0.75
0.6769096,0.6303775,0.75
0.6479368,0.6637401,0.75
0.6532046,0.6014047,0.75
0.6883231,0.6119403,0.75
0.6461809,0.6189640,0.75
0.6540825,0.6075505,0.75
0.6804214,0.6163301,0.75
0.6575944,0.6233538,0.75
0.6207199,0.6163301,0.75
0.6128183,0.6154522,0.75
0.6707638,0.6224759,0.75
0.6725198,0.6172081,0.75
0.6944688,0.6189640,0.75
0.6040386,0.6145742,0.75
0.6523266,0.6259877,0.75
0.6865672,0.6488147,0.75
0.5926251,0.6101844,0.75
0.6374012,0.6101844,0.75
0.5926251,0.6093064,0.75
0.6066725,0.6014047,0.75
0.5768218,0.6207199,0.75
0.7137840,0.6128183,0.75
0.6084284,0.6014047,0.75
0.6865672,0.6101844,0.75
0.6382792,0.6268657,0.75
0.6286216,0.6049166,0.75
0.6892011,0.6189640,0.75
0.5715540,0.6075505,0.75
0.6347673,0.6242318,0.75
0.6716418,0.6084284,0.75
0.6163301,0.6110623,0.75
0.6874451,0.6163301,0.75
0.6347673,0.5996488,0.75
0.6549605,0.6215979,0.75
0.6865672,0.6207199,0.75
0.6242318,0.6110623,0.75
0.6812994,0.6224759,0.75
0.6093064,0.6145742,0.75
0.6101844,0.6145742,0.75
0.6049166,0.6215979,0.75
0.5838455,0.6154522,0.75
0.6136962,0.6268657,0.75
0.6540825,0.6040386,0.75
0.5847234,0.6145742,0.25
0.6918349,0.5812116,0.25
0.6821773,0.6637401,0.25
0.6066725,0.5776997,0.25
0.6742757,0.5943810,0.25
0.6101844,0.6172081,0.25
0.6198420,0.5785777,0.25
0.6821773,0.6259877,0.25
0.6321335,0.5864794,0.25
0.6698859,0.6839333,0.25
0.6786655,0.6014047,0.25
0.6049166,0.5864794,0.25
0.6795435,0.5978929,0.25
0.6777875,0.6057946,0.25
0.6084284,0.5838455,0.25
0.6277436,0.5978929,0.25
0.6760316,0.6444249,0.25
0.5820896,0.6417910,0.25
0.6330114,0.6066725,0.25
0.6865672,0.5812116,0.25
0.7058824,0.6014047,0.25
0.6839333,0.6435470,0.25
0.6962248,0.6057946,0.25
0.6330114,0.5873573,0.25
0.6690079,0.5996488,0.25
0.6505707,0.5987709,0.25
0.6698859,0.6163301,0.25
0.6786655,0.6417910,0.25
0.6540825,0.6312555,0.25
0.7006146,0.6101844,0.25
0.6040386,0.5996488,0.25
0.6812994,0.5935031,0.25
0.6865672,0.5785777,0.25
0.6479368,0.5741879,0.25
0.6654960,0.5838455,0.25
0.6751536,0.6567164,0.25
0.6242318,0.6093064,0.25
0.6356453,0.5776997,0.25
0.6883231,0.6751536,0.25
0.6795435,0.6057946,0.25
0.5917471,0.5759438,0.25
0.6382792,0.6075505,0.25
0.5926251,0.6128183,0.25
0.5873573,0.6066725,0.25
0.6637401,0.5899912,0.25
0.6628622,0.6110623,0.25
0.5908692,0.6523266,0.25
0.6856892,0.6093064,0.25
0.6804214,0.6040386,0.25
0.6856892,0.5750658,0.25
